packageNames,numDependents,numDependencies,numVersions,weeklyDownloads,unpackedSize,totalFiles,issues,pullRequests,lastPublished,scores,,rawUnpackedSize,rawLastPublished,,unpackedSizePowerOf1024,,unpackedSizeConstant
@types/node,38651,1,1934,"176,221,370",2314.24,76,549,188,2,86,,2.26 MB,8 hours,,1,,2.26
debug,55012,1,75,"294,842,643",42.1,7,58,21,1,93,,42.1 kB,2 months,,0,,42.1
glob,32959,6,155,"164,573,885",475,65,5,4,1,91,,475 kB,3 months,,0,,475
supports-color,4202,0,50,"345,767,753",10.8,8,3,0,0,74,,10.8 kB,1 year,,0,,10.8
uuid,66184,0,39,"122,207,481",168,96,3,1,1,93,,168 kB,2 months,,0,,168
brace-expansion,2673,1,19,"153,976,470",12.8,8,3,2,1,79,,12.8 kB,8 months,,0,,12.8
lru-cache,7112,0,142,"186,254,028",808,17,3,1,1,87,,808 kB,2 months,,0,,808
isobject,1669,0,11,"44,856,261",7.76,11,3,1,0,71,,7.76 kB,5 years,,0,,7.76
omit-keys,28,2,1,"4,056",15.1,11,1,2,0,48,,15.1 kB,10 years,,0,,15.1
seerbook,0,56,29,0,699,324,30,11,0,57,,699 kB,3 years,,0,,699
immutable,8620,0,104,"19,303,404",682,8,102,16,2,94,,682 kB,6 days,,0,,682
express,86429,31,281,"34,455,951",221,16,112,67,2,95,,221 k B,15 days,,0,,221
firebase,6009,28,3764,"2,032,445",25088,2608,425,212,2,95,,24.5 mB,18 hours,,1,,24.5
jest,13756,4,355,"25,128,627",5.01,6,281,63,1,82,,5.01 kB,3 months,,0,,5.01
dan-react-scripts,0,53,1,0,-1,-1,0,21,0,39,,-1,8 years,,undefined,,0
redux,18325,0,85,"10,473,357",290,28,36,2,1,97,,290 kB,10 months,,0,,290
joe,0,3,29,84,-1,-1,11,0,0,45,,-1,8 years,,undefined,,0
kava,2,3,90,400,185,21,11,0,1,56,,185 kB,10 months,,0,,185
caterpillar,11,4,150,"1,795",238,72,6,0,1,68,,238 kB,10 months,,0,,238
spidergram,0,55,43,18,1187.84,653,14,0,1,57,,1.16 MB,2 months,,1,,1.16
d9,0,0,1,0,0.081054688,2,0,0,0,40,,83 B,3 years,,-1,,83
t,23,0,6,"1,443",-1,-1,0,0,0,36,,-1,11 years,,undefined,,0
vd,8,3,12,21,-1,-1,0,0,0,34,,-1,9 years,,undefined,,0
gv,0,3,4,0,-1,-1,0,0,0,28,,-1,11 years,,undefined,,0
gej,0,0,1,1,0.08203125,2,0,0,0,10,,84 B,3 years,,-1,,84
oew,0,0,1,0,0.08203125,2,0,0,0,10,,84 B,3 years,,-1,,84
jge,0,6,1,1,-1,-1,0,0,0,36,,-1,10 years,,undefined,,0
beo,0,0,1,0,-1,-1,69,23,0,69,,-1,8 years,,undefined,,0
rose,0,1,23,6,278,22,26,3,1,56,,278 kB,6 months,,0,,278
hyphen,37,0,31,"566,521",4433.92,172,1,0,1,80,,4.33 MB,1 month,,1,,4.33
hul,0,0,1,1,0.08203125,2,0,0,0,40,,84 B,3 years,,-1,,84
man,1,0,11,112,2.23,6,0,0,0,40,,2.23 kB,4 years,,0,,2.23
snyk,614,2,1960,"429,907",46796.8,488,0,19,1,76,,45.7 MB,1 month,,1,,45.7
semver,31248,0,108,"346,708,239",95.8,52,45,3,1,97,,95.8 kB,3 months,,0,,95.8
commander,86200,0,115,"160,508,798",186,14,12,2,1,95,,186 kB,5 months,,0,,186
once,3620,1,7,"52,863,611",-1,-1,1,0,0,67,,-1,8 years,,undefined,,0
chalk,118939,0,38,"332,576,874",43.7,12,3,1,0,87,,43.7 kB,1 year,,0,,43.7
ms,9251,0,24,"243,119,539",6.72,4,18,10,0,76,,6.72 kB,3 years,,0,,6.72
graceful-fs,4778,0,67,"60,758,442",32.5,7,26,23,0,71,,32.5 kB,2 years,,0,,32.5
fs,12477,0,3,"1,776,519",-1,-1,0,4,0,0,,-1,8 years,,undefined,,0
hog-descriptor,1,0,7,0,0.66015625,2,0,14,0,42,,676 B,7 years,,-1,,676
deface,0,3,1,3,-1,-1,0,0,0,34,,-1,12 years,,undefined,,0
npm,12090,68,553,"6,399,066",12083.2,2482,632,35,2,98,,11.8 MB,20 days,,1,,11.8
lodash,195459,0,114,"56,009,303",1443.84,1054,74,41,0,80,,1.41 MB,4 years,,1,,1.41
isarray,2165,0,9,"106,166,496",3.43,4,1,2,0,78,,3.43 kB,5 years,,0,,3.43
request,56354,20,126,"13,546,907",209,17,106,26,0,42,,209 kB,5 years,,0,,209
esprima,3665,0,46,"47,175,245",314,7,135,10,0,81,,314 kB,6 years,,0,,314
locate-path,2312,1,11,"128,610,389",7.25,5,0,0,0,70,,7.25 kB,2 years,,0,,7.25
kind-of,2031,0,26,"105,082,502",22.8,5,6,7,0,71,,22.8 kB,5 years,,0,,22.8
eslint,24623,35,371,"42,951,354",3409.92,420,97,8,2,100,,3.33 MB,5 days,,1,,3.33
dotenv-expand,5335,1,23,"16,078,528",18.2,8,5,3,1,80,,18.2 kB,8 months ago,,0,,18.2
crypto-js,13003,0,20,"7,461,342",487,56,254,17,0,76,,487 kB,a year ago,,0,,487
request-promise-native,4450,3,11,"3,368,463",8.59,5,13,3,0,49,,8.59 kB,4 years ago,,0,,8.59
through,"3,222",0,29,"30,235,259",-1,-1,11,3,0,55,,-1,9 years ago,,undefined,,0
connect,3208,4,234,"7,107,741",95.2,6,2,3,0,84,,95.2 kB,5 years ago,,0,,95.2
raf,3601,1,24,"7,273,795",8.1,7,1,0,0,74,,8.1 kB,6 years ago,,0,,8.1
react-scripts,25641,48,134,"2,841,030",116,24,1773,486,0,82,,116 kB,3 years ago,,0,,116
readable-stream,5292,5,103,"160,376,067",217,34,14,2,1,86,,217 kB,10 months ago,,0,,217
highlight.js,5382,0,101,"8,325,913",5478.4,1538,97,24,1,95,,5.35 MB,4 months ago,,1,,5.35
@babel/polyfill,8601,2,48,"1,793,636",443,10,626,148,0,90,,443 kB,4 years ago,,0,,443
progress,4704,0,20,"19,024,905",15.5,7,49,23,0,75,,15.5 kB,6 years ago,,0,,15.5
koa-router,"4,010",3,91,"447,368",34.2,6,13,4,1,89,,34.2 kB,a month ago,,0,,34.2
ncp,"4,217",0,24,"3,658,770",-1,-1,53,28,0,72,,-1,10 years ago,,undefined,,0
lodash.merge,"6,779",0,37,"35,103,948",54.1,4,74,41,0,80,,54.1 kB,5 years ago,,0,,54.1
lru-cache,"7,117",0,142,"187,323,509",808,17,4,1,1,87,,808 kB,2 months ago,,0,,808
moment-timezone,"10,551",1,63,"9,467,798",2928.64,22,72,4,2,94,,2.86 MB,19 days ago,,1,,2.86
figlet,11161,0,26,"1,939,160",6277.12,622,18,1,2,88,,6.13 MB,16 days ago,,1,,6.13
optimize-css-assets-webpack-plugin,4666,3,27,"1,795,062",18,36,27,15,0,70,,18 kB,3 years ago,,0,,18
iconv-lite,6060,1,51,"82,069,611",349,33,54,17,0,73,,349 kB,3 years ago,,0,,349
bunyan,4931,4,112,"1,752,245",201,6,227,63,0,67,,201 kB,4 years ago,,0,,201
gulp-uglify,2763,10,31,"340,475",12.8,10,13,4,0,56,,12.8 kB,6 years ago,,0,,12.8
history,5665,1,101,"6,628,195",121,21,109,15,0,76,,121 kB,3 years ago,,0,,121
readline-sync,4091,0,65,"1,980,205",133,9,0,0,0,55,,133 kB,5 years ago,,0,,133
pluralize,5463,0,34,"10,897,791",17.7,4,32,23,0,74,,17.7 kB,5 years ago,,0,,17.7
url,5158,2,11,"19,920,366",78.3,9,12,4,1,84,,78.3 kB,3 months ago,,0,,78.3
log4js,4041,5,152,"4,780,655",160,33,80,12,0,84,,160 kB,2 years ago,,0,,160
cli-table,3274,1,15,"2,932,206",17.3,5,12,6,0,76,,17.3 kB,3 years ago,,0,,17.3
webpack-merge,5476,3,91,"12,928,830",49.5,21,1,5,1,84,,49.5 kB,4 months ago,,0,,49.5
archiver,5019,7,83,"9,797,650",43.1,9,131,16,1,89,,43.1 kB,7 months ago,,0,,43.1
babel-register,2888,7,50,"1,797,484",-1,-1,626,148,0,82,,-1,7 years ago,,undefined,,0
eslint-config-airbnb,4855,3,61,"3,693,433",81.7,20,93,70,0,85,,81.7 kB,3 years ago,,0,,81.7
clone,4446,0,38,"34,830,110",15.9,6,24,4,0,70,,15.9 kB,7 years ago,,0,,15.9
jsonfile,4083,2,25,"60,636,223",19.8,6,3,2,0,74,,19.8 kB,4 years ago,,0,,19.8
puppeteer,7757,6,904,"3,861,687",341,43,259,14,2,83,,341 kB,8 days ago,,0,,341
shortid,4374,1,31,"891,475",21,15,15,1,0,39,,21 kB,4 years ago,,0,,21
@babel/plugin-proposal-class-properties,6167,2,65,"15,965,634",3.34,4,626,148,0,72,,3.34 kB,2 years ago,,0,,3.34
querystring,4624,0,5,"16,368,764",9.39,10,13,3,0,91,,9.39 kB,4 years ago,,0,,9.39
serve-static,4020,4,66,"35,190,298",25.4,5,9,5,1,86,,25.4 kB,a month ago,,0,,25.4
tslint,3324,13,182,"1,984,727",1935.36,513,1,0,0,50,,1.89 MB,4 years ago,,1,,1.89
pug,4382,8,40,"1,506,416",59.7,6,295,23,1,84,,59.7 kB,5 months ago,,0,,59.7
config,5868,1,118,"1,365,605",94.4,9,49,16,1,80,,94.4 kB,4 months ago,,0,,94.4
source-map,4892,0,68,"169,005,929",226,18,40,22,0,85,,226 kB,2 years ago,,0,,226
antd,11858,49,849,"1,571,832",48435.2,3675,1155,68,2,95,,47.3 MB,4 days ago,,1,,47.3
concat-stream,2961,4,37,"21,675,484",9.56,4,11,7,0,74,,9.56 kB,6 years ago,,0,,9.56
element-ui,11642,6,164,"190,861",9472,999,2525,316,0,68,,9.25 MB,a year ago,,1,,9.25
lodash.get,5703,0,13,"12,748,326",-1,-1,74,41,0,80,,-1,8 years ago,,undefined,,0
@babel/preset-react,9424,6,85,"14,585,455",12.2,5,626,148,2,95,,12.2 kB,2 days ago,,0,,12.2
serve-favicon,2730,5,21,"2,106,421",14.9,5,0,2,0,69,,14.9 kB,7 years ago,,0,,14.9
stylus,2347,5,183,"2,698,626",366,143,249,19,2,97,,366 kB,5 days ago,,0,,366
date-fns,19556,0,204,"22,973,251",23142.4,5326,564,189,1,88,,22.6 MB,a month ago,,1,,22.6
